Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,16666.666666666668,catapult,Area,4224.612,FF,246,catapult_asic_area
Throughput,16666.666666666668,catapult,Area,3909.136,FF,182,catapult_asic_area
Throughput,16949.15254237288,catapult,Area,4433.156,FF,248,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4162.634,FF,184,catapult_asic_area
Throughput,16129.032258064515,catapult,Area,4811.674,FF,252,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4491.410,FF,188,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,5261.214,FF,257,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4936.428,FF,193,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,6660.906,FF,270,catapult_asic_area
Throughput,15873.015873015873,catapult,Area,6332.662,FF,206,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,3752.728,FF,172,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,4010.748,FF,180,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4223.814,FF,194,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4260.522,FF,183,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4633.986,FF,199,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4782.946,FF,188,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,5116.776,FF,215,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,5109.860,FF,204,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,6635.104,FF,248,catapult_asic_area
Throughput,34482.75862068965,catapult,Area,6661.172,FF,237,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,3752.728,FF,172,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,4010.748,FF,180,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4223.814,FF,194,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4260.522,FF,183,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4633.986,FF,199,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4782.946,FF,188,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,5116.776,FF,215,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,5109.860,FF,204,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,6635.104,FF,248,catapult_asic_area
Throughput,34482.75862068965,catapult,Area,6661.172,FF,237,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,3752.728,FF,172,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,4010.748,FF,180,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4223.814,FF,194,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4260.522,FF,183,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4633.986,FF,199,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,4782.946,FF,188,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,5116.776,FF,215,catapult_asic_area
Throughput,35714.28571428572,catapult,Area,5109.860,FF,204,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,6635.104,FF,248,catapult_asic_area
Throughput,34482.75862068965,catapult,Area,6661.172,FF,237,catapult_asic_area
Throughput,16666.666666666668,catapult,Area,4224.612,FF,246,catapult_asic_area
Throughput,16666.666666666668,catapult,Area,3909.136,FF,182,catapult_asic_area
Throughput,16949.15254237288,catapult,Area,4433.156,FF,248,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4162.634,FF,184,catapult_asic_area
Throughput,16129.032258064515,catapult,Area,4811.674,FF,252,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4491.410,FF,188,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,5261.214,FF,257,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,4936.428,FF,193,catapult_asic_area
Throughput,16393.44262295082,catapult,Area,6660.906,FF,270,catapult_asic_area
Throughput,15873.015873015873,catapult,Area,6332.662,FF,206,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,3752.728,FF,172,catapult_asic_area
Throughput,37037.03703703704,catapult,Area,4010.748,FF,180,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,4223.814,FF,194,catapult_asic_area
